Supplementary Material for A Systematic Review of the Applications of Artificial Intelligence and Machine Learning to Autoimmune Diseases.,,,,,,,,
"Supplementary Table 1 Detailed information for each study included in the systematic review, grouped by autoimmune disease.",,,,,,,,
"AA=Alopecia Areata, ACPA = Anti-Citrullinated Peptide Antibodies, AI = Renal Pathology Acute Index, AID = Autoimmune Disease, AUC = Area under the ROC Curve, axSpA = Axial Spondyloarthritis, CeD = Coeliac",,,,,,,,
"Disease, CFS = Chronic Fatigue Syndrome, CGM = Continuous Glucose Monitoring, CI = Renal Pathology Chronic Index, CIS = Clinically Isolated Syndrome, COPD = Chronic Obstructive Pulmonary Disease, CrD =",,,,,,,,
"Crohn’s Disease, D-IBS = Diarrhoea-Predominant Irritable Bowel Syndrome, EDSS = Expanded Disability Status Scale, EHR = Electronic Health Record, EMR = Electronic Medical Record, FP = False Positive, GWAS =",,,,,,,,
"Genome Wide Association Study, HC = Healthy Controls, IBD = Inflammatory Bowel Disease, LASSO = Least Absolute Shrinkage and Selection Operator, LDA = Linear Discriminant Analysis, LH-PCR = Length",,,,,,,,
"Heterogeneity Profile or Fingerprint, ME = Myalgic Encephalomyelitis, MF = Mycosis Fungoides, MFI = Motor Function Impaired, MFP = Motor Function Preserved, MLP = Multilayer Perceptron, MRI = Magnetic",,,,,,,,
"Resonance Imaging, MS = Multiple Sclerosis, OA = Osteoarthritis, OND = Other neurological diseases, P = Psoriasis, PAFS = Psoriasis and Psoriatic Arthritis Follow-up Study, PAPS = Primary Antiphospholipid",,,,,,,,
"Syndrome, PPMS = Primary Progressive Multiple Sclerosis, PRMS = Progressive Relapsing Multiple Sclerosis, PsA = Psoriatic Arthritis, PsC = Cutaneous-only Psoriasis, PSC = Primary Sclerosing Cholangitis, PsV =",,,,,,,,
"Psoriasis Vulgaris, RA = Rheumatoid Arthritis, RBC = Red Blood Cell, RF = Random Forest, RSME = Root Mean Square Error, RRMS = Relapsing Remitting Multiple Sclerosis, SLE = Systemic Lupus Erythematosus, SNP",,,,,,,,
"= Single Nucleotide Polymorphism, SpA = Spondyloarthropathy, SPMS = Secondary Progressive Multiple Sclerosis, SSc = Systemic Sclerosis, SVM = Support Vector Machine, T1D = Type 1 Diabetes, T2D = Type 2",,,,,,,,
"Diabetes, UC = Ulcerative Colitis, VOC = Volatile Organic Compound.",,,,,,,,
Paper,MultipleAIDsStudied,Prediction orClassificationTask,ML Type,Machine LearningMethod,Study Size (N),Type of Data,"Best Results (Metrics) Reported fromvalidation or cross-validation, andwhere conducted, the test set.",Cross-Validation
Multiple Sclerosis,,,,,,,,
"Briggs et al.
2019 [1]",No,"Disease
Progression",Supervised,Multivariable Regression,N=1515,"Clinical, Survey
and Genetic Data",.,"10-fold cross-
validation"
"Ahmadi et al.
2019 [2]",No,Diagnosis,Supervised,Neural Network,"N=12 (n(MS)=5, n(HC)=7)",Clinical Data,"Colour task: Accuracy=91%, Sensitivity=83%,
Specificity=96%.
Direction Task: Accuracy=90%, Sensitivity=82%,
Specificity=96%.","Leave-one-out
cross-validation"
"Zhang et al.
2019 [3]",No,"Disease
Progression",Supervised,Random Forest,N=84,MRI Data,"Shape Based: AUC=0·85, Sensitivity=0·94,
Specificity=0·5.
Shape based with lesion segmentation tool:
AUC=0·82, Sensitivity=0·95, Specificity=0·33","3-fold cross-
validation"
Zurita et al.,No,Diagnosis,Supervised,Support Vector Machine,"N=150 (n(RRMS)=104, n(HC)=46)",MRI Data,"RRMS vs HC: Accuracy=87·8%, Precision=89·7%,",10-fold cross-
2018 [4],,,,,,,"Sensitivity=88%, Specificity=87·6%.",validation
,,,,,,,"RRMS (EDSS > 1·5) vs HC: Accuracy=88·6%,",
